Text,Label,Types
you ought to have had more knowledge,Bullying,Vocational
excuse the crimes of islam rather than get rid of them,Bullying,Racism
heroalom is fool of bangladesh actor,Bullying,Troll
what a dogy girl,Bullying,Sexual
holy fuck girl you cant do stuff like that,Bullying ,Sexual
due to the industrys intense competition maintaining a healthy worklife balance can be difficult,Bullying,Vocational
election is not to fair,Bullying ,Political
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
fuck off you are,Bullying ,Sexual
i am a robot,Bullying ,Troll
indian people are dirty mind,Bullying ,Religion
you have never studied the barbarity of the muslims during,Bullying ,Religion
he killed him,Bullying,Threats
this person can be charged with a crime and face trial,Bullying ,Political
being near you is intolerable to me,Bullying,Vocational
excuse the crimes of islam rather than get rid of them,Bullying,Racism
youre an outcast with no pals,Bullying,Vocational
idiot im talking about halal products not muslims are you saying halal products means muslims,Bullying ,Religion
racism in this country is whats driving us all nuts,Bullying,Ethnicity
you murdered him,Bullying,Vocational
he killed him,Bullying,Threats
this article is making me laugh out loud on my computer screen,Bullying,Troll
excuse the crimes of islam rather than get rid of them,Bullying,Racism
religion can discourage empathy and understanding for those with differing beliefs,Bullying,Religion
heroalom is fool of bangladesh actor,Bullying,Troll
did i tell you what i call my boobs,Bullying ,Sexual
the fighting went on for two weeks until the un adopted a resolution to stop the war,Bullying ,Political
it might be scary to start something new but i know you can do it,Bullying,Vocational
best wishes on your wellearned success,Bullying,Vocational
displaying images of a sexual nature,Bullying,Sexual
religious communities can be insular and closedminded,Bullying,Religion
the companys high staff turnover rate was a result of the unpleasant work environment there,Bullying,Vocational
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
election is not to fair,Bullying ,Political
holy fuck girl you cant do stuff like that,Bullying ,Sexual
you are a gay,Bullying,Troll
how are your pals who are all idiot ninnies any assistance to you,Bullying,Ethnicity
im concerned about the historical oppression of indigenous and minority religions,Bullying,Religion
the manipulation of election rules for partisan advantage undermines electoral integrity,Bullying ,Political
islam was proclaimed to be a whole religion by the prophet muhammad saw,Bullying ,Religion
workers are vulnerable because the gig economy offers minimal employment stability,Bullying,Vocational
eid day are the bad day of month,Bullying ,Religion
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
satan is back,Bullying,Troll
the police have to take any terrorist,Bullying ,Threats
since the election i have not seen a white girl or boy behave in a manner as stupid or vicious as a nigerian or a beaner but white people we are racists,Bullying ,Ethnicity
palestinians launched suicide bombs,Bullying ,Political
wait your fb is banned now,Bullying,Threats
despite years of hard work she was frequently overlooked for promotions,Bullying,Vocational
islam is corrupt from the beginning,Bullying ,Religion
you are a gay,Bullying,Troll
the fighting went on for two weeks until the un adopted a resolution to stop the war,Bullying ,Political
the fighting went on for two weeks until the un adopted a resolution to stop the war,Bullying ,Political
excuse the crimes of islam rather than get rid of them,Bullying,Racism
you should teach a how to be funny on instagram masterclass,Bullying,Troll
sunny hot sexy mal,Bullying,Sexual
dont be such a prude loosen up,Bullying,Sexual
your friends are all stupid niggers so how are they any help to you,Bullying,Ethnicity
he killed him,Bullying,Threats
sexy guys bby,Bullying ,Sexual
you are a stupid nigger in addition to being a nigger you and your rioting fuck you you desire a war,Bullying,Ethnicity
requests for sex,Bullying ,Sexual
last night i had the wildest dreamand you were in it,Bullying ,Sexual
sex i want,Bullying,Sexual
you are a foolish,Bullying ,Vocational
you are a rude person,Bullying ,Vocational
the job market in that field is oversaturated making it hard to find employment,Bullying ,Vocational
heroalom is fool of bangladesh actor,Bullying,Troll
excuse the crimes of islam rather than get rid of them,Bullying,Racism
heroalom is fool of bangladesh actor,Bullying,Troll
the suppression of academic freedom hampers innovation and critical thinking,Bullying ,Political
excuse the crimes of islam rather than get rid of them,Bullying,Racism
religion can perpetuate harmful stereotypes and prejudices,Bullying,Religion
hoping to catch the israeli army off guard,Bullying ,Political
why do muslims insist that women dress modestly and remain at home,Bullying ,Religion
u are nosty human,Bullying ,Vocational
we can expect this only from you,Bullying,Troll
police security was made available to the prosecutions main witness after she received,Bullying ,Threats
you are a gay,Bullying,Troll
none of them can show anything in her past but current plans,Bullying,Ethnicity
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
israeli authorities doubled down on policies to repress palestinians and privilege jewish israelis,Bullying ,Ethnicity
heroalom is fool of bangladesh actor,Bullying,Troll
excuse the crimes of islam rather than get rid of them,Bullying,Racism
answer my claims idiot you sent quran verses talking about all muslims going to hell,Bullying,Religion
civil war broke out throughout all of israel,Bullying ,Political
since the election i have not seen a white girl or boy behave in a manner as stupid or vicious as a nigerian or a beaner but white people we are racists,Bullying ,Ethnicity
excuse the crimes of islam rather than get rid of them,Bullying,Racism
oil your own machine,Bullying ,Threats
israeli authorities doubled down on policies to repress palestinians and privilege jewish israelis,Bullying ,Ethnicity
youre my goto channel when i need a good laugh,Bullying,Troll
now you are finished,Bullying ,Threats
ill let you know all your secrets,Bullying,Vocational
lussa sala,Bullying ,Vocational
eid day are the bad day of month,Bullying ,Religion
you are a gay,Bullying,Troll
yours is mine,Bullying,Threats
if they are found guilty or plead guilty then they will receive a punishment this might include a prison sentence,Bullying ,Political
the manipulation of election dates and processes for partisan advantage erodes trust in elections,Bullying ,Political
religious leaders can abuse their authority,Bullying,Religion
hot size,Bullying,Sexual
fuck of,Bullying ,Sexual
there are so many things that are incorrect with your comment its unbelievable guns dont kill people,Bullying,Threats
the lack of a clear and coherent foreign policy strategy damages international credibility,Bullying ,Political
oil your own machine,Bullying ,Threats
i guess you enjoy how i talk to you,Bullying,Vocational
you are a gay,Bullying,Troll
yours is mine,Bullying,Threats
you looking too much hot,Bullying,Sexual
oil your own machine,Bullying ,Threats
they are adorable im sad to learn that some individuals believe all thai kpop fans despise them since theyre not,Bullying ,Vocational
relax dont be such a prude,Bullying,Vocational
hoping to catch the israeli army off guard,Bullying ,Political
bitch bitch,Bullying ,Vocational
the same thing and tbh most of the niggas that speak the most on it have no pov,Bullying ,Ethnicity
three major railway stations were shut down,Bullying ,Threats
you are a foolish,Bullying ,Vocational
excuse the crimes of islam rather than get rid of them,Bullying,Racism
that is why the us can kill thousands of the worthless daesh without loosing a man,Bullying,Threats
by killing him,Bullying,Threats
sexy body,Bullying ,Sexual
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
this person can be charged with a crime and face trial,Bullying ,Political
any terrorist must be taken by the police,Bullying ,Threats
holy fuck girl you cant do stuff like that,Bullying ,Sexual
the lack of transparency in campaign financing conceals the true sources of political contributions,Bullying ,Political
this person can be charged with a crime and face trial,Bullying ,Political
he is in for a blrude awakening leviathan mother fuck er,Bullying ,Sexual
excuse the crimes of islam rather than get rid of them,Bullying,Racism
i want your ass in my bed,Bullying ,Sexual
how about you little nigga quit asking questions,Bullying,Ethnicity
lol boys lol,Bullying ,Troll
let the law do their diligence you morons,Bullying ,Ethnicity
we should have sex like a lot,Bullying ,Sexual
i appreciate you sharing your amazing tale,Bullying ,Threats
hate them,Bullying ,Vocational
it is hoped that the kidnappers will not carry out their threat to kill the hostages,Bullying ,Threats
the misuse of disaster relief funds for political purposes harms disasteraffected communities,Bullying ,Political
excuse the crimes of islam rather than get rid of them,Bullying,Racism
the fighting went on for two weeks until the un adopted a resolution to stop the war,Bullying ,Political
youre so pathetic,Bullying,Vocational
excuse the crimes of islam rather than get rid of them,Bullying,Racism
fuck suck,Bullying ,Vocational
nuclear weapons pose a threat to everyone,Bullying ,Threats
who are islamists those who fully follow the teachings of muhammed found in the quran and hadiths,Bullying,Religion
the fighting went on for two weeks until the un adopted a resolution to stop the war,Bullying ,Political
you are now done,Bullying ,Threats
the prevalence of unpaid internships exploits young professionals seeking experience,Bullying ,Vocational
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
youre the reason my like button is worn out,Bullying,Troll
in what started as a surprise attack israel in 1967 defeated egypt,Bullying ,Political
election is not to fair,Bullying ,Political
excuse the crimes of islam rather than get rid of them,Bullying,Racism
the police have to take any terrorist,Bullying ,Threats
unnecessary or unwelcome sexual references,Bullying,Sexual
holy fuck girl you cant do stuff like that,Bullying ,Sexual
the key witness for the prosecution was offered police protection after she received,Bullying ,Threats
excuse the crimes of islam rather than get rid of them,Bullying,Racism
i am a robot,Bullying ,Troll
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
since the election i have not seen a white girl or boy behave in a manner as stupid or vicious as a nigerian or a beaner but white people we are racists,Bullying ,Ethnicity
heroalom is fool of bangladesh actor,Bullying,Troll
sexually explicit physical contact and,Bullying ,Sexual
in some professions gender and racial biases continue to hinder career advancement,Bullying ,Vocational
excuse the crimes of islam rather than get rid of them,Bullying,Racism
this picture just called 911 because its on fire,Bullying,Troll
students league are fuck of,Bullying ,Political
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
we call the destruction evil bc thats the way it looks in the light of day we would understand this better if we did more shadow work,Bullying ,Ethnicity
wait your fb is banned now,Bullying,Threats
the disregard for international alliances and cooperation weakens global stability,Bullying ,Political
you require a really warm clothing,Bullying,Sexual
the society can do everything for their bad things,Bullying,Ethnicity
world war come,Bullying ,Ethnicity
indian people are dirty mind,Bullying ,Religion
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
religious teachings can perpetuate a sense of divine favoritism,Bullying,Religion
australian peopleare very bad,Bullying ,Ethnicity
wait your fb is banned now,Bullying,Threats
this person can be charged with a crime and face trial,Bullying ,Political
you are a gay,Bullying,Troll
you not only a nigger youre a dumb nigger fuck you and your riots you want war,Bullying,Ethnicity
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
lol boys lol,Bullying ,Troll
there are so many things that are incorrect with your comment its unbelievable guns dont kill people,Bullying,Threats
the exploitation of crises for political fundraising capitalizes on public suffering,Bullying ,Political
i am a robot,Bullying ,Troll
shame of you,Bullying ,Vocational
heroalom is fool of bangladesh actor,Bullying,Troll
wait your fb is banned now,Bullying,Threats
send me noods,Bullying ,Sexual
fuck of this,Bullying ,Sexual
the level of threat has a greater impact than regime type on the likelihood of political repression,Bullying,Political
the fighting went on for two weeks until the un adopted a resolution to stop the war,Bullying ,Political
wow boobs big size,Bullying ,Sexual
political leaders who prioritize shortterm gains over longterm sustainability jeopardize future generations,Bullying ,Political
not fair elections,Bullying ,Political
you are really fat and ugly,Bullying,Vocational
just kill this man this could the last eye for an eye yall let happen but holy fuck most ppl want this man dead besides his dumb ass followers,Bullying ,Ethnicity
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
excuse the crimes of islam rather than get rid of them,Bullying,Racism
theyre clearly discriminating against him by forcing him to go against his faith amp principles,Bullying ,Religion
lessbian,Bullying ,Vocational
you want me bed now,Bullying ,Sexual
none of them can show anything in her past but current plans,Bullying,Ethnicity
boobs are big,Bullying ,Sexual
election is not to fair,Bullying ,Political
which is why he was fired by muslim people,Bullying,Religion
o allah in plain language did we hear what we heard wrongly or should i still say that you understood the mistake and asked allah for forgiveness allah can forgive if he wills,Bullying,Troll
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
now you are finished,Bullying ,Threats
shame of you,Bullying ,Vocational
your friends are all stupid niggers so how are they any help to you,Bullying,Ethnicity
why are you doing even on earth,Bullying,Troll
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
excuse the crimes of islam rather than get rid of them,Bullying,Racism
male action moviesehhhh not sexist but female action moviesehhhh,Bullying ,Religion
hanging around a person,Bullying ,Sexual
political leaders flipflopping on important issues erodes confidence in their leadership,Bullying ,Political
wait your facebook is now blocked,Bullying,Threats
haha isnt route running a requirement for the job humans are stupid however eff edelman he simply has the appearance of saying that choosing to wash your white garments before your black and colored ones constitutes racism,Bullying,Troll
london er mto khrp ase r,Bullying ,Ethnicity
u are nosty human,Bullying ,Vocational
excuse the crimes of islam rather than get rid of them,Bullying,Racism
excuse the crimes of islam rather than get rid of them,Bullying,Racism
you are too hot so i kiss you,Bullying,Ethnicity
fuck off you are,Bullying ,Sexual
you are a foolish,Bullying ,Vocational
heroalom is fool of bangladesh actor,Bullying,Troll
now you are finished,Bullying ,Threats
wait your fb is banned now,Bullying,Threats
i want some breast,Bullying,Sexual
the fighting went on for two weeks until the un adopted a resolution to stop the war,Bullying ,Political
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
that is television trolling at its best,Bullying,Troll
by killing him,Bullying,Threats
i use my hands since the day i quit fighting opening my locker,Bullying,Threats
the persistent and growing influence of lobbying groups distorts democratic decisionmaking,Bullying ,Political
spreading rumors about a persons sex life,Bullying,Sexual
england is a naughty country,Bullying ,Ethnicity
this post just upgraded my day from meh to haha,Bullying,Troll
holy fuck girl you cant do stuff like that,Bullying ,Sexual
my neighbors probably think ive lost it i cant stop laughing,Bullying,Troll
how about you little nigga quit asking questions,Bullying,Ethnicity
boobs are big,Bullying ,Sexual
the proliferation of political polarization has led to a toxic and unproductive political climate,Bullying ,Political
srilanka dewlia,Bullying ,Ethnicity
hindu are killed israil,Bullying ,Religion
youre so attractive its annoying,Bullying,Sexual
u are poor people,Bullying ,Vocational
this person can be charged with a crime and face trial,Bullying ,Political
excuse the crimes of islam rather than get rid of them,Bullying,Racism
what a dogy girl,Bullying,Sexual
europe does not include brazil,Bullying ,Threats
youre the funniest thing since the emoji was created someone exclaimed,Bullying,Troll
holy fuck girl you cant do stuff like that,Bullying ,Sexual
the persistent and growing influence of lobbying groups distorts democratic decisionmaking,Bullying ,Political
sexy guys bby,Bullying ,Sexual
religious leaders can discourage independent thought,Bullying,Religion
boobs are big,Bullying ,Sexual
heroalom is fool of bangladesh actor,Bullying,Troll
this video is worth going viral,Bullying ,Threats
holy fuck girl you cant do stuff like that,Bullying ,Sexual
he killed him,Bullying,Threats
religion has been used as a tool for colonization and imperialism,Bullying,Religion
im critical of the role of religion in promoting guilt and shame,Bullying,Religion
lussa sala,Bullying ,Vocational
israel has been plagued by unpredictable war and violence,Bullying ,Ethnicity
i need to be inside of you,Bullying ,Sexual
youre a complete waste of time,Bullying,Vocational
excuse the crimes of islam rather than get rid of them,Bullying,Racism
heroalom is fool of bangladesh actor,Bullying,Troll
who are islamists those who fully follow the teachings of muhammed found in the quran and hadiths,Bullying,Religion
youre a burden to everyone around you,Bullying,Vocational
religious institutions can accumulate vast wealth while poverty persists,Bullying,Religion
excuse the crimes of islam rather than get rid of them,Bullying,Racism
youll constantly be gazing in from the outside,Bullying,Vocational
the police have to take any terrorist,Bullying ,Threats
im entitled to your body,Bullying,Sexual
excuse the crimes of islam rather than get rid of them,Bullying,Racism
yo yo boys,Bullying ,Troll
eid day are the bad day of month,Bullying ,Religion
now you are finished,Bullying ,Threats
im concerned about the historical violence in the name of religion,Bullying,Religion
none of them can show anything in her past but current plans,Bullying,Ethnicity
the manipulation of intelligence assessments for political objectives endangers national security,Bullying ,Political
problem with vile muslims is that they try to rationalize amp,Bullying ,Religion
you have never studied the barbarity of the muslims during,Bullying ,Religion
muslims are tut tut,Bullying ,Religion
social people are too much bad,Bullying,Ethnicity
excuse the crimes of islam rather than get rid of them,Bullying,Racism
were hoping the kidnappers wont make good on their threat to kill the captives,Bullying ,Threats
youre such a coldblooded btch,Bullying,Sexual
to me you are only some meat,Bullying,Sexual
fucking him,Bullying ,Sexual
all people are threatened by nuclear weapons,Bullying ,Threats
get real you fucking jerk,Bullying ,Threats
political criticism also referred to as political commentary,Bullying,Political
we know it can never become lindu rasthtra but it can definitely become hindu rashtra lindu means islam,Bullying ,Religion
all people are threatened by nuclear weapons,Bullying ,Threats
he killed him,Bullying,Threats
now you are finished,Bullying ,Threats
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
heroalom is fool of bangladesh actor,Bullying,Troll
bangladesh is a looser country,Bullying,Threats
none of them can show anything in her past but current plans,Bullying,Ethnicity
boobs are big,Bullying ,Sexual
religion can hinder acceptance of diverse sexual orientations,Bullying,Religion
heroalom is fool of bangladesh actor,Bullying,Troll
youre such a frigid bitch,Bullying,Sexual
the stigma of these countries,Bullying,Troll
bitch bitch,Bullying ,Vocational
a fool would claim that the world is flat like a carpet,Bullying ,Religion
motherfukcer,Bullying ,Vocational
unwelcome touching,Bullying ,Sexual
the police have to take any terrorist,Bullying ,Threats
nobody wants to be friends with you,Bullying,Vocational
three main line railway stations were closed,Bullying ,Threats
i find religious dogma to be restrictive,Bullying,Religion
wow sexy,Bullying ,Sexual
the start of world war,Bullying ,Ethnicity
you cannot salat,Bullying,Religion
the erosion of ethics and moral values in politics fosters cynicism and disillusionment,Bullying ,Political
yours is mine,Bullying,Threats
in what started as a surprise attack israel in 1967 defeated egypt,Bullying ,Political
u are poor people,Bullying ,Vocational
religious leaders can use fear tactics to control their followers,Bullying,Religion
lol boys lol,Bullying ,Troll
england fuck,Bullying ,Ethnicity
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
yo yo boys,Bullying ,Troll
you are killed him,Bullying,Threats
eid day are the bad day of month,Bullying ,Religion
holy fuck girl you cant do stuff like that,Bullying ,Sexual
by killing him,Bullying,Threats
excuse the crimes of islam rather than get rid of them,Bullying,Racism
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
heroalom is fool of bangladesh actor,Bullying,Troll
heroalom is fool of bangladesh actor,Bullying,Troll
israil killed children,Bullying ,Ethnicity
sexy body,Bullying ,Sexual
i want you to touch my,Bullying ,Sexual
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
wow sexy girl,Bullying ,Sexual
i believe one of your first senses to die is sensation,Bullying ,Religion
excuse the crimes of islam rather than get rid of them,Bullying,Racism
requests for sex,Bullying ,Sexual
the erosion of diplomatic relations with key allies damages international cooperation,Bullying ,Political
none of them can show anything in her past but current plans,Bullying,Ethnicity
bangladesh is a dangerous country,Bullying ,Ethnicity
world war come,Bullying ,Ethnicity
three main line railway stations were closed,Bullying ,Threats
i hate lucky charms,Bullying ,Vocational
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
heroalom is fool of bangladesh actor,Bullying,Troll
election is not to fair,Bullying ,Political
england fuck,Bullying ,Ethnicity
election is not to fair,Bullying ,Political
lol boys lol,Bullying ,Troll
election is not to fair,Bullying ,Political
not fair elections,Bullying ,Political
holy fuck girl you cant do stuff like that,Bullying ,Sexual
holy fuck girl you cant do stuff like that,Bullying ,Sexual
wait your fb is banned now,Bullying,Threats
muslims is bad for world,Bullying ,Ethnicity
religious rituals can feel meaningless to some,Bullying,Religion
islam was proclaimed to be a whole religion by the prophet muhammad saw,Bullying ,Religion
heroalom is fool of bangladesh actor,Bullying,Troll
if they are found guilty or plead guilty then they will receive a punishment this might include a prison sentence,Bullying ,Political
election is not to fair,Bullying ,Political
government debt continues to rise unchecked burdening future generations,Bullying ,Political
im touching myself right now,Bullying ,Sexual
hoping to catch the israeli army off guard,Bullying ,Political
yes capabaji koros heda finnir fua ass ta joss wearing a mask causes you to convert to islam idiots,Bullying,Religion
samne election astece dekhbone k ki kore,Bullying,Ethnicity
heroalom is fool of bangladesh actor,Bullying,Troll
wait your fb is banned now,Bullying,Threats
this person can be charged with a crime and face trial,Bullying ,Political
thank you for being a part of my life,Bullying ,Sexual
your culture is a tottaly lame,Bullying ,Ethnicity
your humor is my daily workout im in stitches,Bullying,Troll
political leaders shortterm focus on reelection hampers longterm planning,Bullying ,Political
send me noods,Bullying ,Sexual
younger elected representatives are the most victimised,Bullying,Political
in what started as a surprise attack israel in 1967 defeated egypt,Bullying ,Political
if they are found guilty or plead guilty then they will receive a punishment this might include a prison sentence,Bullying ,Political
this person can be charged with a crime and face trial,Bullying ,Political
wait your fb is banned now,Bullying,Threats
all people are threatened by nuclear weapons,Bullying ,Threats
wait your fb is banned now,Bullying,Threats
students league are fuck of,Bullying ,Political
holy fuck girl you cant do stuff like that,Bullying ,Sexual
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
holy fuck girl you cant do stuff like that,Bullying ,Sexual
in what started as a surprise attack israel in 1967 defeated egypt,Bullying ,Political
there are still racial and gender biases in some professions,Bullying,Vocational
holy fuck girl you cant do stuff like that,Bullying ,Sexual
it would stun you to realize that allah is the one and only true god if you are not a muslim till the day of judgment,Bullying ,Threats
bnp are not power to the election,Bullying,Political
there will definitely always be trolling commenters,Bullying,Troll
government officials engaging in nepotism and cronyism erode public trust in the system,Bullying ,Political
civil war broke out throughout all of israel,Bullying ,Political
wow boobs big size,Bullying ,Sexual
you are a luicha,Bullying,Vocational
programs for insurance and retirement,Bullying,Vocational
fucking pussy,Bullying,Sexual
three somw sex,Bullying,Sexual
you are a fuck boy lusser,Bullying,Vocational
it is hoped that the kidnappers will not carry out their threat to kill the hostages,Bullying ,Threats
you only want people to notice you,Bullying,Vocational
fucking pussy,Bullying,Sexual
none of them can show anything in her past but current plans,Bullying,Ethnicity
i am a robot,Bullying ,Troll
if laughter were currency your posts would make me rich,Bullying,Troll
i believe one of your first senses to die is sensation,Bullying,Ethnicity
if you dont do what i tell you to ill reveal you,Bullying,Sexual
shame of you,Bullying ,Vocational
you really let me down,Bullying,Vocational
excuse the crimes of islam rather than get rid of them,Bullying,Racism
political leaders who prioritize partisan victories over national unity deepen societal divisions,Bullying ,Political
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
haha isnt route running part of the position people are dumb but fuck edelman he just looks like he says,Bullying ,Ethnicity
islam is corrupt from the beginning,Bullying ,Religion
but attacking my work with them glhf youre bringing it on yourself,Bullying,Threats
youre just seeking attention,Bullying,Vocational
you are a gay,Bullying,Troll
i dont work this hard so that all those muslims can take the benefits,Bullying,Religion
he killed him,Bullying,Threats
doing sex,Bullying ,Sexual
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
israeliregime so dont feed me your little piece of taqiyya bs,Bullying ,Religion
you have never studied the barbarity of the muslims during,Bullying ,Religion
you have just sent a nudge msn fans will know about the nudge wars,Bullying,Troll
the start of world war,Bullying ,Ethnicity
the corporate culture prioritizes profit over the wellbeing of its employees leading to a toxic atmosphere,Bullying ,Vocational
may your birthday be blessed with pleasure and happiness,Bullying,Political
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
oh my god you cannot do stuff like that girl,Bullying ,Sexual
the fighting went on for two weeks until the un adopted a resolution to stop the war,Bullying ,Political
how lame the politicals are,Bullyiing,Political
lessbian,Bullying ,Vocational
kaka babu seems to have found a more suitable vessel than this dramatist tahsan mithila loves to smell old flowers,Bullying,Troll
fuck off you are,Bullying ,Sexual
excuse the crimes of islam rather than get rid of them,Bullying,Racism
oh my god you cannot do stuff like that girl,Bullying ,Sexual
election is not to fair,Bullying ,Political
the erosion of trust in democratic institutions weakens the foundation of civil society,Bullying ,Political
islam is corrupt from the beginning,Bullying ,Religion
you are a misfit with no friends,Bullying,Vocational
these comments are very stupid idiotic scary and fake,Bullying,Vocational
you are a gay,Bullying,Troll
your knowledge serves as a beacon in my life,Bullying,Ethnicity
youll regret having crossed me i promise,Bullying,Sexual
religion has been used as a tool for colonization and imperialism,Bullying,Religion
have not seen a white girlboy act as dumb or hateful as a nigger or beaner since election but fuck white people we are racists,Bullying ,Ethnicity
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
the suppression of voter registration efforts disproportionately affects minority communities,Bullying ,Political
palestinians launched suicide bombs,Bullying ,Political
the fighting went on for two weeks until the un adopted a resolution to stop the war,Bullying ,Political
holy fuck girl you cant do stuff like that,Bullying ,Sexual
lol boys lol,Bullying ,Troll
oil your own machine,Bullying ,Threats
i cant believe its you keep growing keep doing,Bullying ,Vocational
israeli authorities doubled down on policies to repress palestinians and privilege jewish israelis,Bullying ,Ethnicity
the suppression of civic engagement through voter id laws restricts access to the polls,Bullying ,Political
you are a foolish,Bullying ,Vocational
u are poor people,Bullying ,Vocational
excuse the crimes of islam rather than get rid of them,Bullying,Racism
a fool would claim that the world is flat like a carpet,Bullying ,Religion
bangladesh is a dangerous country,Bullying ,Ethnicity
the exploitation of divisive wedge issues distracts from addressing pressing national problems,Bullying ,Political
me your big friend from bangladesh,Bullying,Troll
three major railway stations were shut down,Bullying ,Threats
displaying images of a sexual nature,Bullying,Sexual
you ought to be honored by all the admiration,Bullying,Sexual
i have a surprise for you tonight wink emoji,Bullying ,Sexual
three major railway stations were shut down,Bullying ,Threats
hate them,Bullying ,Vocational
hindus are fucking,Bullyibg,Religion
i have no problem with hinduism christianity tao judaism buddhism or atheism,Bullying,Racism
yours is mine,Bullying,Threats
there are so many things that are incorrect with your comment its unbelievable guns dont kill people,Bullying,Threats
black people out here who literally hate their skin color they wish they were lighter or born white,Bullying ,Ethnicity
today i found out that the name of this monkey is zayed khan,Bullying,Troll
white people fucks,Bullying ,Ethnicity
sexy body,Bullying,Sexual
youll never find happiness,Bullying,Vocational
excuse the crimes of islam rather than get rid of them,Bullying,Racism
oil your own machine,Bullying ,Threats
the key witness for the prosecution was offered police protection after she received,Bullying ,Threats
what the fuck,Bullying ,Sexual
you should teach a how to be funny on instagram masterclass,Bullying,Troll
excuse the crimes of islam rather than get rid of them,Bullying,Racism
im skeptical about the moral authority claimed by some religious leaders,Bullying,Religion
israeli authorities doubled down on policies to repress palestinians and privilege jewish israelis,Bullying ,Ethnicity
im going to ruin your life,Bullying,Vocational
i had to pause the video to catch my breath from laughing,Bullying,Troll
holy fuck girl you cant do stuff like that,Bullying ,Sexual
oh my god you cannot do stuff like that girl,Bullying ,Sexual
the fighting went on for two weeks until the un adopted a resolution to stop the war,Bullying ,Political
